index,type,name,resident,streamed,parentStack
52,xmodelmesh,p7_anim_zm_barricade_board_05_lod09bc63c35,2160,0,|p7_anim_zm_barricade_board_05|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
53,xmodelmesh,p7_anim_zm_barricade_board_06_lod0ae9daec0,2288,0,|p7_anim_zm_barricade_board_06|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
54,xmodelmesh,p7_zm_der_pswitch_handle_lod066495e4b,2960,0,|p7_zm_der_pswitch_handle|xmodel|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
55,xmodelmesh,p7_zm_vending_packapunch_lod0c57e5236,1488,32976,|p7_zm_vending_packapunch_on|xmodel|zmcore_packapunch|zbarrier|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
56,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rarmspawn_lod075527b40,2912,0,|c_zom_zod_zombie_fem_body1_g_rarmspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
57,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rlegspawn_lod0c5acd6f,2656,0,|c_zom_zod_zombie_fem_body1_g_rlegspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
58,xmodelmesh,c_zom_zod_zombie_fem_body1_g_larmspawn_lod0567f2c88,3440,0,|c_zom_zod_zombie_fem_body1_g_larmspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
59,xmodelmesh,c_zom_zod_zombie_fem_body1_g_llegspawn_lod041c78fa2,2672,0,|c_zom_zod_zombie_fem_body1_g_llegspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
60,xmodelmesh,c_zom_der_helmet_1_lod55a672d53,3392,0,|c_zom_der_zombie_helmet1|xmodel|c_zom_der_zombie2|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
61,xmodelmesh,c_zom_der_head_1_lod5943b21d9,208,8864,|c_zom_der_zombie_head1|xmodel|c_zom_der_zombie_headalias|xmodelalias|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
62,xmodelmesh,c_zom_der_head_2_lod51fd00a8a,208,8016,|c_zom_der_zombie_head2|xmodel|c_zom_der_zombie_headalias|xmodelalias|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
63,xmodelmesh,c_zom_der_head_3_lod53d40255c,208,10416,|c_zom_der_zombie_head3|xmodel|c_zom_der_zombie_headalias|xmodelalias|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
64,xmodelmesh,c_zom_der_zombie_body1_g_behead_lod586d08846,2160,0,|c_zom_der_zombie_body1_g_behead|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
65,xmodelmesh,c_zom_der_zombie_body1_g_lowclean_lod517213356,224,10128,|c_zom_der_zombie_body1_g_lowclean|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
66,xmodelmesh,c_zom_der_zombie_body1_g_rlegoff_lod5cb3b0646,320,7584,|c_zom_der_zombie_body1_g_rlegoff|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
67,xmodelmesh,c_zom_der_zombie_body1_g_llegoff_lod514b66699,320,8896,|c_zom_der_zombie_body1_g_llegoff|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
68,xmodelmesh,c_zom_der_zombie_body1_g_blegsoff_lod52a8483e9,320,6560,|c_zom_der_zombie_body1_g_blegsoff|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
69,xmodelmesh,c_zom_der_zombie_body2_lod57a787b77,704,41360,|c_zom_der_zombie_body2|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
70,xmodelmesh,c_zom_der_zombie_body2_g_upclean_lod529f358be,704,28240,|c_zom_der_zombie_body2_g_upclean|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
71,xmodelmesh,c_zom_der_zombie_body2_g_rarmoff_lod5c9791d5a,800,23376,|c_zom_der_zombie_body2_g_rarmoff|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
72,xmodelmesh,c_zom_der_zombie_body2_g_larmoff_lod5db695c0c,800,25872,|c_zom_der_zombie_body2_g_larmoff|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
73,xmodelmesh,c_zom_der_zombie_body2_g_behead_lod592058fd9,1920,0,|c_zom_der_zombie_body2_g_behead|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
74,xmodelmesh,c_zom_der_zombie_body2_g_lowclean_lod5bcac4582,320,13488,|c_zom_der_zombie_body2_g_lowclean|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
75,xmodelmesh,c_zom_der_zombie_body2_g_rlegoff_lod52ab33a06,416,11600,|c_zom_der_zombie_body2_g_rlegoff|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
76,xmodelmesh,c_zom_der_zombie_body2_g_llegoff_lod51fe99774,416,11584,|c_zom_der_zombie_body2_g_llegoff|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
77,xmodelmesh,c_zom_der_zombie_body2_g_blegsoff_lod5c35191e1,416,9824,|c_zom_der_zombie_body2_g_blegsoff|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
78,xmodelmesh,p7_zm_der_pswitch_body_lod0c02f5a4a,800,12176,|p7_zm_der_pswitch_body|xmodel|maps/zm/zm_first_map.d3dbsp|gfx_map|zone_source/zm_first_map.zone|csv
79,xmodelmesh,p7_cinder_block_lod26133b898,4208,0,|p7_cinder_block|xmodel|maps/zm/zm_first_map.d3dbsp|gfx_map|zone_source/zm_first_map.zone|csv
80,xmodelmesh,p7_light_fixture_led_utility_lod0691b9590,352,5248,|p7_light_fixture_led_utility|xmodel|maps/zm/zm_first_map.d3dbsp|gfx_map|zone_source/zm_first_map.zone|csv
81,xmodelmesh,p7_anim_zm_barricade_board_01_lod080d2d065,240,5040,|p7_anim_zm_barricade_board_01|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
82,xmodelmesh,p7_anim_zm_barricade_board_02_lod014b845ac,4000,0,|p7_anim_zm_barricade_board_02|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
83,xmodelmesh,p7_anim_zm_barricade_board_03_lod0e436a2ad,4128,0,|p7_anim_zm_barricade_board_03|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
84,xmodelmesh,p7_anim_zm_barricade_board_04_lod0f3b15342,240,5216,|p7_anim_zm_barricade_board_04|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
85,xmodelmesh,p7_anim_zm_barricade_board_05_lod0543f9a9a,4032,0,|p7_anim_zm_barricade_board_05|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
86,xmodelmesh,p7_anim_zm_barricade_board_06_lod010010904,4080,0,|p7_anim_zm_barricade_board_06|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
87,xmodelmesh,p7_zm_der_pswitch_handle_lod063410b3d,464,5168,|p7_zm_der_pswitch_handle|xmodel|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
88,xmodelmesh,p7_zm_vending_packapunch_lod053be907d,1600,63360,|p7_zm_vending_packapunch_on|xmodel|zmcore_packapunch|zbarrier|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
89,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rarmspawn_lod08155b704,368,5200,|c_zom_zod_zombie_fem_body1_g_rarmspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
90,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rlegspawn_lod053f29eef,4208,0,|c_zom_zod_zombie_fem_body1_g_rlegspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
91,xmodelmesh,c_zom_zod_zombie_fem_body1_g_larmspawn_lod0539c617e,368,5088,|c_zom_zod_zombie_fem_body1_g_larmspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
92,xmodelmesh,c_zom_zod_zombie_fem_body1_g_llegspawn_lod056fb478,4240,0,|c_zom_zod_zombie_fem_body1_g_llegspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
93,xmodelmesh,c_zom_der_helmet_1_lod440e19ebe,224,4352,|c_zom_der_zombie_helmet1|xmodel|c_zom_der_zombie2|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
94,xmodelmesh,c_zom_der_head_1_lod4c1179c01,208,16304,|c_zom_der_zombie_head1|xmodel|c_zom_der_zombie_headalias|xmodelalias|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
95,xmodelmesh,c_zom_der_head_2_lod410b5a201,208,14720,|c_zom_der_zombie_head2|xmodel|c_zom_der_zombie_headalias|xmodelalias|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
96,xmodelmesh,c_zom_der_head_3_lod4e605e8d0,208,17952,|c_zom_der_zombie_head3|xmodel|c_zom_der_zombie_headalias|xmodelalias|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
97,xmodelmesh,c_zom_der_zombie_body1_g_behead_lod4e68ab97e,2800,0,|c_zom_der_zombie_body1_g_behead|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
98,xmodelmesh,c_zom_der_zombie_body1_g_lowclean_lod41da35f97,320,23600,|c_zom_der_zombie_body1_g_lowclean|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
99,xmodelmesh,c_zom_der_zombie_body1_g_rlegoff_lod4b95a1e19,416,16112,|c_zom_der_zombie_body1_g_rlegoff|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_first_map.d3dbsp|col_map|zone_source/zm_first_map.zone|csv
